date,time,open,high,low,close,volume
20110103,0,955000,966000,950000,958000,265562
20110104,0,956000,961000,949000,958000,274488
20110105,0,955000,955000,942000,942000,336224
20110106,0,942000,949000,923000,930000,387488
20110107,0,915000,929000,914000,921000,463447
20110110,0,918000,928000,909000,917000,367107
20110111,0,917000,922000,908000,913000,391242
20110112,0,914000,933000,914000,930000,412107
20110113,0,949000,949000,917000,922000,568083
20110114,0,928000,934000,915000,933000,307694
20110117,0,945000,951000,940000,949000,411740
20110118,0,950000,981000,949000,969000,592816
20110119,0,979000,1000000,966000,997000,668320
20110120,0,987000,990000,979000,982000,304970
20110121,0,976000,984000,970000,971000,333801
20110124,0,968000,983000,966000,971000,272455
20110125,0,972000,990000,971000,975000,279580
20110126,0,985000,999000,980000,998000,267128
20110127,0,995000,1002000,991000,994000,307490
20110128,0,998000,1014000,990000,1010000,383021
20110131,0,1009000,1010000,981000,981000,428852
20110201,0,982000,995000,979000,983000,269518
20110207,0,1002000,1004000,972000,972000,485191
20110208,0,970000,974000,959000,961000,610004
20110209,0,973000,973000,951000,960000,420301
20110210,0,960000,965000,935000,936000,614002
20110211,0,935000,943000,913000,915000,530889
20110214,0,928000,955000,925000,953000,391852
20110215,0,963000,970000,947000,958000,362193
20110216,0,952000,970000,945000,945000,304438
20110217,0,953000,963000,943000,954000,287009
20110218,0,965000,966000,957000,960000,205097
20110221,0,964000,965000,942000,948000,275361
20110222,0,939000,948000,934000,938000,243946
20110223,0,925000,941000,925000,930000,344149
20110224,0,926000,934000,920000,929000,362392
20110225,0,928000,933000,923000,926000,303972
20110228,0,920000,934000,920000,923000,325623
20110302,0,914000,923000,912000,918000,322780
20110303,0,919000,927000,916000,923000,362277
20110304,0,934000,945000,927000,945000,371501
20110307,0,943000,943000,906000,906000,638965
20110308,0,911000,912000,894000,899000,499287
20110309,0,906000,908000,882000,890000,527673
20110310,0,879000,884000,866000,866000,834229
20110311,0,861000,876000,860000,862000,543168
20110314,0,880000,901000,853000,900000,667121
20110315,0,901000,902000,856000,860000,727312
20110316,0,885000,895000,872000,886000,799142
20110317,0,878000,890000,868000,890000,450459
20110318,0,892000,895000,883000,891000,383562
20110321,0,891000,899000,884000,890000,290140
20110322,0,892000,897000,870000,875000,436722
20110323,0,880000,880000,859000,873000,505176
20110324,0,880000,888000,874000,880000,308119
20110325,0,892000,910000,890000,910000,622311
20110328,0,915000,922000,909000,916000,318215
20110329,0,907000,916000,900000,916000,344624
20110330,0,916000,929000,916000,926000,414257
20110331,0,936000,936000,921000,932000,527666
20110401,0,936000,940000,927000,940000,449733
20110404,0,940000,945000,939000,945000,334749
20110405,0,948000,948000,935000,945000,238698
20110406,0,940000,942000,915000,923000,550378
20110407,0,925000,935000,905000,909000,436076
20110408,0,911000,914000,895000,898000,521299
20110411,0,898000,907000,888000,894000,412638
20110412,0,886000,890000,882000,882000,316036
20110413,0,887000,901000,880000,901000,332860
20110414,0,900000,900000,884000,900000,505624
20110415,0,898000,899000,882000,888000,446008
20110418,0,891000,892000,866000,867000,549291
20110419,0,853000,875000,853000,875000,462304
20110420,0,889000,916000,886000,916000,641519
20110421,0,930000,937000,918000,928000,541665
20110422,0,924000,927000,902000,904000,377225
20110425,0,901000,911000,889000,889000,287621
20110426,0,899000,899000,880000,897000,384355
20110427,0,917000,927000,911000,924000,528108
20110428,0,924000,927000,899000,900000,416427
20110429,0,901000,908000,880000,893000,429874
20110502,0,910000,937000,904000,932000,651726
20110503,0,936000,940000,922000,938000,507510
20110504,0,930000,934000,900000,915000,515717
20110506,0,899000,914000,895000,899000,473222
20110509,0,908000,911000,891000,891000,271573
20110511,0,889000,895000,882000,892000,447932
20110512,0,886000,901000,883000,885000,552942
20110513,0,896000,924000,890000,916000,669154
20110516,0,917000,919000,898000,901000,322905
20110517,0,897000,898000,889000,890000,231293
20110518,0,893000,899000,886000,893000,331824
20110519,0,891000,898000,880000,880000,387733
20110520,0,885000,887000,880000,882000,221517
20110523,0,877000,885000,872000,873000,282045
20110524,0,872000,884000,865000,865000,290181
20110525,0,879000,879000,853000,856000,320945
20110526,0,868000,880000,865000,879000,279740
20110527,0,874000,899000,867000,891000,430296
20110530,0,895000,895000,876000,884000,205979
20110531,0,890000,914000,886000,902000,478089
20110601,0,902000,912000,895000,911000,313832
20110602,0,894000,897000,880000,883000,331899
20110603,0,890000,890000,877000,885000,201472
20110607,0,876000,889000,869000,887000,303586
20110608,0,885000,890000,875000,877000,258873
20110609,0,877000,879000,865000,865000,434119
20110610,0,870000,874000,851000,851000,392575
20110613,0,844000,853000,838000,853000,301387
20110614,0,851000,873000,848000,863000,213419
20110615,0,866000,869000,851000,865000,265758
20110616,0,853000,858000,844000,848000,239116
20110617,0,851000,852000,803000,819000,723027
20110620,0,813000,814000,795000,800000,472386
20110621,0,800000,820000,798000,814000,378374
20110622,0,824000,833000,822000,826000,330821
20110623,0,825000,839000,820000,831000,277391
20110624,0,821000,854000,821000,852000,469223
20110627,0,847000,847000,828000,835000,304257
20110628,0,840000,853000,831000,832000,239178
20110629,0,848000,849000,832000,833000,207146
20110630,0,833000,835000,821000,826000,328339
20110701,0,843000,860000,838000,855000,442918
20110704,0,870000,883000,869000,878000,429433
20110705,0,880000,899000,878000,899000,422262
20110706,0,893000,898000,887000,898000,224722
20110707,0,898000,898000,879000,880000,358557
20110708,0,880000,888000,873000,885000,241809
20110711,0,880000,880000,862000,865000,320019
20110712,0,860000,861000,846000,850000,248144
20110713,0,848000,855000,836000,843000,329357
20110714,0,835000,835000,823000,831000,407918
20110715,0,830000,840000,821000,832000,273509
20110718,0,828000,830000,811000,813000,364738
20110719,0,806000,827000,806000,822000,291167
20110720,0,840000,854000,839000,851000,421882
20110721,0,846000,851000,832000,842000,206937
20110722,0,850000,856000,842000,850000,244517
20110725,0,850000,850000,834000,847000,190025
20110726,0,843000,851000,840000,850000,225408
20110727,0,848000,848000,836000,845000,201993
20110728,0,828000,840000,826000,837000,272890
20110729,0,846000,852000,837000,844000,302016
20110801,0,855000,875000,855000,870000,389024
20110802,0,853000,859000,850000,852000,269816
20110803,0,840000,844000,824000,833000,408465
20110804,0,839000,839000,815000,821000,346496
20110805,0,792000,805000,789000,789000,609081
20110808,0,770000,789000,760000,760000,607518
20110809,0,750000,753000,696000,724000,990040
20110810,0,760000,760000,720000,720000,986557
20110811,0,688000,725000,688000,708000,794832
20110812,0,721000,722000,700000,707000,677828
20110816,0,735000,750000,726000,750000,601622
20110817,0,751000,760000,741000,752000,293405
20110818,0,748000,749000,703000,709000,708503
20110819,0,688000,697000,672000,680000,580713
20110822,0,684000,702000,683000,691000,418952
20110823,0,700000,735000,699000,723000,492913
20110824,0,724000,735000,700000,708000,370403
20110825,0,737000,738000,721000,725000,381135
20110826,0,717000,734000,717000,726000,212815
20110829,0,742000,742000,724000,733000,260440
20110830,0,741000,748000,736000,742000,252964
20110831,0,747000,747000,731000,744000,290229
20110901,0,759000,788000,744000,771000,717411
20110902,0,765000,781000,763000,769000,258682
20110905,0,755000,756000,730000,731000,277488
20110906,0,726000,736000,710000,727000,264505
20110907,0,733000,778000,733000,773000,351504
20110908,0,780000,802000,778000,798000,574914
20110909,0,785000,812000,777000,780000,361802
20110914,0,780000,781000,741000,753000,551101
20110915,0,784000,784000,765000,771000,426593
20110916,0,794000,811000,792000,798000,476632
20110919,0,800000,814000,788000,808000,246920
20110920,0,811000,818000,796000,811000,281014
20110921,0,819000,828000,801000,813000,341563
20110922,0,796000,800000,778000,790000,307008
20110923,0,764000,780000,751000,758000,437123
20110926,0,760000,787000,759000,775000,480907
20110927,0,805000,805000,791000,804000,331600
20110928,0,824000,825000,791000,807000,486551
20110929,0,804000,848000,804000,837000,553981
20110930,0,830000,840000,811000,840000,516023
20111004,0,805000,832000,796000,828000,658616
20111005,0,824000,850000,817000,842000,644036
20111006,0,874000,879000,842000,855000,600160
20111007,0,865000,881000,850000,860000,530423
20111010,0,878000,885000,872000,874000,345316
20111011,0,885000,885000,869000,881000,459031
20111012,0,872000,899000,870000,898000,432600
20111013,0,898000,899000,881000,890000,325563
20111014,0,871000,894000,871000,886000,217319
20111017,0,890000,895000,881000,890000,213700
20111018,0,875000,893000,871000,883000,277012
20111019,0,885000,886000,870000,886000,214254
20111020,0,886000,920000,883000,907000,569192
20111021,0,920000,925000,907000,917000,466429
20111024,0,913000,943000,911000,941000,376214
20111025,0,936000,951000,935000,945000,365737
20111026,0,933000,946000,927000,934000,250360
20111027,0,929000,939000,919000,924000,349475
20111028,0,928000,946000,927000,945000,537992
20111031,0,941000,970000,933000,968000,476217
20111101,0,968000,999000,962000,990000,620094
20111102,0,970000,978000,966000,971000,569636
20111103,0,962000,971000,958000,967000,328782
20111104,0,983000,1005000,982000,1005000,535139
20111107,0,996000,1000000,986000,993000,280586
20111108,0,986000,990000,965000,970000,341584
20111109,0,970000,988000,966000,985000,386372
20111110,0,967000,973000,935000,935000,624218
20111111,0,945000,984000,930000,983000,486576
20111114,0,988000,1002000,987000,996000,282989
20111115,0,986000,1000000,980000,996000,234838
20111116,0,995000,1003000,973000,975000,339267
20111117,0,982000,992000,961000,980000,259445
20111118,0,971000,977000,962000,963000,326670
20111121,0,951000,960000,942000,950000,256942
20111122,0,950000,971000,943000,963000,241829
20111123,0,948000,960000,935000,935000,307043
20111124,0,922000,953000,921000,943000,273680
20111125,0,929000,953000,929000,947000,233962
20111128,0,959000,982000,958000,978000,315940
20111129,0,990000,1005000,986000,1005000,552503
20111130,0,1000000,1010000,996000,1004000,394423
20111201,0,1035000,1080000,1029000,1074000,694628
20111202,0,1061000,1071000,1040000,1050000,439388
20111205,0,1069000,1073000,1058000,1066000,297501
20111206,0,1057000,1070000,1041000,1044000,292758
20111207,0,1050000,1068000,1041000,1056000,395486
20111208,0,1057000,1083000,1046000,1064000,521081
20111209,0,1049000,1074000,1037000,1053000,276388
20111212,0,1063000,1084000,1060000,1084000,243479
20111213,0,1074000,1075000,1050000,1050000,265044
20111214,0,1034000,1045000,1025000,1040000,421590
20111215,0,1029000,1036000,1015000,1015000,339605
20111216,0,1021000,1045000,1020000,1045000,245774
20111219,0,1045000,1045000,984000,1007000,410694
20111220,0,1008000,1029000,1007000,1012000,275516
20111221,0,1035000,1057000,1031000,1057000,408316
20111222,0,1045000,1053000,1041000,1052000,213171
20111223,0,1056000,1074000,1056000,1068000,246478
20111226,0,1067000,1075000,1066000,1066000,124469
20111227,0,1068000,1080000,1053000,1073000,226189
20111228,0,1073000,1073000,1060000,1061000,220925
20111229,0,1062000,1077000,1057000,1058000,218898
20120102,0,1070000,1080000,1065000,1080000,263300
20120103,0,1093000,1105000,1092000,1105000,339046
20120104,0,1105000,1110000,1075000,1080000,342389
20120105,0,1073000,1079000,1055000,1055000,346691
20120106,0,1056000,1066000,1030000,1040000,376753
20120109,0,1040000,1041000,1015000,1016000,387166
20120110,0,1021000,1036000,1021000,1026000,409381
20120111,0,1017000,1024000,1014000,1021000,382904
20120112,0,1016000,1029000,1011000,1028000,371462
20120113,0,1028000,1050000,1026000,1046000,293017
20120116,0,1040000,1040000,1020000,1030000,232948
20120117,0,1041000,1048000,1024000,1036000,342322
20120118,0,1051000,1052000,1022000,1030000,307608
20120119,0,1038000,1072000,1037000,1072000,448056
20120120,0,1090000,1105000,1076000,1105000,512607
20120125,0,1092000,1125000,1092000,1114000,455736
20120126,0,1116000,1121000,1094000,1113000,353212
20120127,0,1120000,1125000,1111000,1125000,255060
20120130,0,1129000,1130000,1109000,1115000,327408
20120131,0,1105000,1120000,1089000,1107000,434959
20120201,0,1107000,1107000,1078000,1079000,458731
20120202,0,1086000,1104000,1068000,1080000,448986
20120203,0,1071000,1084000,1056000,1066000,357253
20120206,0,1084000,1091000,1066000,1074000,317585
20120207,0,1077000,1096000,1073000,1093000,238611
20120208,0,1099000,1100000,1084000,1092000,236880
20120209,0,1087000,1090000,1060000,1084000,480585
20120210,0,1084000,1084000,1061000,1062000,372318
20120213,0,1069000,1089000,1067000,1083000,320760
20120214,0,1084000,1089000,1074000,1080000,246511
20120215,0,1098000,1138000,1092000,1135000,570588
20120216,0,1130000,1140000,1121000,1135000,308603
20120217,0,1159000,1180000,1156000,1176000,346676
20120220,0,1178000,1194000,1166000,1175000,296550
20120221,0,1175000,1198000,1165000,1180000,216328
20120222,0,1182000,1200000,1172000,1197000,235724
20120223,0,1173000,1179000,1151000,1160000,465609
20120224,0,1153000,1186000,1153000,1180000,284960
20120227,0,1174000,1180000,1159000,1171000,168265
20120228,0,1196000,1200000,1181000,1185000,333027
20120229,0,1191000,1209000,1191000,1206000,345618
20120302,0,1215000,1217000,1179000,1182000,360682
20120305,0,1190000,1191000,1166000,1174000,223655
20120306,0,1179000,1193000,1167000,1180000,211532
20120307,0,1175000,1183000,1165000,1172000,230554
20120308,0,1180000,1186000,1165000,1180000,406211
20120309,0,1191000,1231000,1188000,1230000,365212
20120312,0,1224000,1226000,1210000,1210000,236760
20120313,0,1200000,1229000,1200000,1221000,239728
20120314,0,1230000,1255000,1230000,1250000,367328
20120315,0,1251000,1260000,1242000,1250000,281014
20120316,0,1260000,1267000,1238000,1238000,361632
20120319,0,1235000,1268000,1234000,1260000,237833
20120320,0,1267000,1277000,1260000,1267000,238807
20120321,0,1260000,1260000,1242000,1242000,258654
20120322,0,1235000,1263000,1235000,1258000,253830
20120323,0,1243000,1274000,1243000,1261000,217307
20120326,0,1268000,1275000,1261000,1275000,184819
20120327,0,1285000,1311000,1276000,1311000,283880
20120328,0,1300000,1308000,1295000,1302000,198516
20120329,0,1299000,1299000,1280000,1280000,233777
20120330,0,1270000,1280000,1257000,1275000,305967
20120402,0,1275000,1299000,1261000,1299000,251937
20120403,0,1320000,1339000,1302000,1335000,330512
20120404,0,1331000,1351000,1315000,1320000,292224
20120405,0,1302000,1335000,1297000,1330000,258692
20120406,0,1327000,1334000,1313000,1332000,205972
20120409,0,1320000,1330000,1306000,1317000,172210
20120410,0,1314000,1320000,1307000,1311000,223655
20120412,0,1283000,1299000,1268000,1273000,505706
20120413,0,1265000,1277000,1260000,1268000,709175
20120416,0,1273000,1276000,1250000,1259000,305181
20120417,0,1251000,1264000,1241000,1249000,291687
20120418,0,1277000,1302000,1269000,1293000,345320
20120419,0,1292000,1307000,1289000,1307000,263389
20120420,0,1294000,1297000,1278000,1282000,198642
20120423,0,1269000,1280000,1262000,1279000,168229
20120424,0,1265000,1286000,1262000,1283000,265092
20120425,0,1304000,1315000,1293000,1305000,276830
20120426,0,1320000,1340000,1317000,1340000,330125
20120427,0,1355000,1383000,1351000,1374000,318334
20120430,0,1395000,1409000,1377000,1390000,315924
20120502,0,1410000,1418000,1399000,1410000,368585
20120503,0,1402000,1410000,1398000,1401000,206721
20120504,0,1375000,1398000,1349000,1360000,410013
20120507,0,1342000,1353000,1325000,1342000,378463
20120508,0,1348000,1352000,1339000,1341000,241223
20120509,0,1335000,1348000,1324000,1331000,253520
20120510,0,1329000,1336000,1322000,1327000,263434
20120511,0,1315000,1323000,1303000,1303000,273746
20120514,0,1305000,1327000,1304000,1314000,302375
20120515,0,1304000,1320000,1300000,1311000,312381
20120516,0,1298000,1300000,1228000,1230000,772389
20120517,0,1230000,1243000,1201000,1223000,663431
20120518,0,1204000,1205000,1165000,1166000,602891
20120521,0,1194000,1216000,1190000,1209000,475248
20120522,0,1255000,1255000,1227000,1240000,476938
20120523,0,1240000,1240000,1195000,1221000,323898
20120524,0,1213000,1225000,1198000,1225000,305365
20120525,0,1233000,1246000,1223000,1225000,203783
20120529,0,1212000,1238000,1206000,1238000,216876
20120530,0,1238000,1240000,1215000,1226000,254380
20120531,0,1213000,1213000,1192000,1211000,442818
20120601,0,1213000,1237000,1199000,1233000,272252
20120604,0,1198000,1205000,1192000,1196000,361840
20120605,0,1201000,1209000,1193000,1203000,257449
20120607,0,1239000,1265000,1233000,1265000,419412
20120608,0,1275000,1275000,1245000,1247000,199521
20120611,0,1272000,1275000,1266000,1268000,198491
20120612,0,1246000,1260000,1245000,1255000,176329
20120613,0,1266000,1274000,1256000,1271000,191611
20120614,0,1269000,1271000,1256000,1261000,441585
20120615,0,1250000,1260000,1214000,1217000,609612
20120618,0,1240000,1257000,1234000,1243000,352506
20120619,0,1245000,1247000,1222000,1244000,297169
20120620,0,1249000,1265000,1245000,1252000,265743
20120621,0,1234000,1242000,1226000,1227000,255553
20120622,0,1189000,1202000,1180000,1182000,626943
20120625,0,1171000,1178000,1128000,1132000,828723
20120626,0,1133000,1149000,1129000,1139000,506211
20120627,0,1140000,1177000,1130000,1167000,471673
20120628,0,1167000,1180000,1153000,1168000,208420
20120629,0,1167000,1201000,1153000,1201000,373478
20120702,0,1208000,1209000,1171000,1174000,383135
20120703,0,1182000,1193000,1170000,1175000,316380
20120704,0,1182000,1197000,1178000,1191000,383678
20120705,0,1187000,1194000,1177000,1185000,181784
20120706,0,1194000,1194000,1153000,1161000,423970
20120709,0,1135000,1138000,1126000,1126000,426705
20120710,0,1135000,1142000,1121000,1127000,355742
20120711,0,1129000,1133000,1108000,1118000,361358
20120712,0,1121000,1126000,1091000,1091000,500103
20120713,0,1096000,1144000,1091000,1139000,542252
20120716,0,1145000,1155000,1133000,1152000,305730
20120717,0,1148000,1178000,1136000,1168000,317913
20120718,0,1179000,1185000,1138000,1154000,292655
20120719,0,1180000,1202000,1172000,1195000,497504
20120720,0,1202000,1203000,1191000,1191000,240244
20120723,0,1165000,1170000,1155000,1162000,258087
20120724,0,1165000,1175000,1159000,1170000,292532
20120725,0,1153000,1172000,1139000,1158000,273353
20120726,0,1169000,1174000,1160000,1172000,273339
20120727,0,1195000,1233000,1191000,1233000,534352
20120730,0,1260000,1278000,1251000,1275000,382995
20120731,0,1280000,1334000,1275000,1309000,676303
20120801,0,1292000,1315000,1283000,1300000,381803
20120802,0,1300000,1304000,1261000,1263000,320335
20120803,0,1240000,1267000,1238000,1243000,312338
20120806,0,1285000,1305000,1282000,1298000,246024
20120807,0,1303000,1304000,1284000,1294000,205823
20120808,0,1306000,1328000,1301000,1320000,389471
20120809,0,1321000,1348000,1318000,1340000,612875
20120810,0,1335000,1348000,1330000,1348000,294895
20120813,0,1342000,1347000,1323000,1325000,197976
20120814,0,1326000,1350000,1326000,1345000,289928
20120816,0,1354000,1355000,1338000,1345000,296891
20120817,0,1344000,1345000,1286000,1295000,554025
20120820,0,1270000,1283000,1255000,1283000,399820
20120821,0,1292000,1302000,1282000,1282000,307047
20120822,0,1269000,1281000,1257000,1264000,321554
20120823,0,1261000,1287000,1249000,1287000,277600
20120824,0,1270000,1287000,1264000,1275000,282921
20120827,0,1189000,1203000,1173000,1180000,1277983
20120828,0,1186000,1209000,1180000,1195000,558503
20120829,0,1209000,1235000,1207000,1230000,469517
20120830,0,1228000,1229000,1202000,1215000,324636
20120831,0,1211000,1234000,1207000,1233000,407358
20120903,0,1220000,1235000,1201000,1218000,278537
20120904,0,1219000,1228000,1210000,1218000,198954
20120905,0,1205000,1212000,1189000,1189000,349101
20120906,0,1200000,1203000,1193000,1196000,247977
20120907,0,1230000,1251000,1220000,1250000,510922
