date,time,open,high,low,close,volume
20180903,0,48200,48300,47300,47450,8595084
20180904,0,47550,47800,47200,47650,6791255
20180905,0,47300,47450,46400,46600,9139998
20180906,0,46200,46400,45800,46100,9040553
20180907,0,44500,45200,44400,44900,18285508
20180910,0,45450,45550,45000,45500,9979838
20180911,0,45550,45900,45050,45050,9865790
20180912,0,44900,45100,44500,44550,12995269
20180913,0,44550,44750,44000,44050,18277942
20180914,0,45000,45850,44900,45850,12446344
20180917,0,45550,45800,44900,45150,8123384
20180918,0,44950,45900,44700,45500,9987090
20180919,0,46000,46200,45700,46150,9367454
20180920,0,46850,47600,46400,47250,13536966
20180921,0,46550,47550,46550,47400,14476906
20180927,0,46950,47500,46450,47500,15804586
20180928,0,47250,47250,46300,46450,11270515
20181001,0,46450,46800,45800,46350,6354983
20181002,0,46450,46700,45700,45700,6607188
20181004,0,45150,45600,44700,44700,11865327
20181005,0,44800,45500,44550,44700,10544165
20181008,0,44200,45200,44200,44950,6759464
20181010,0,45250,45500,44500,45300,10341349
20181011,0,44000,44650,43100,43100,19324537
20181012,0,43200,44650,43200,44000,12640906
20181015,0,44050,44050,43350,43800,7434522
20181016,0,43700,44150,43350,43600,6825677
20181017,0,44150,44500,44000,44150,8306193
20181018,0,43950,44450,43700,44050,8347725
20181019,0,43900,44150,43450,43900,7842520
20181022,0,43450,43950,43200,43550,8357648
20181023,0,43300,43450,42550,43050,9531231
20181024,0,43050,43100,42250,42550,13522825
20181025,0,40600,41550,40550,41000,19338170
20181026,0,41100,41300,40400,41000,14413864
20181029,0,40850,41950,40550,41400,14460521
20181030,0,41400,43000,41000,42350,14205190
20181031,0,42900,43350,41700,42400,17621480
20181101,0,42450,42950,42150,42150,13423132
20181102,0,43050,44250,42800,44150,16517112
20181105,0,43750,43800,42900,43800,9426777
20181106,0,43750,43800,42950,43750,7713625
20181107,0,43600,44500,43400,44000,11553998
20181108,0,44900,45050,44050,44050,12617397
20181109,0,44450,44850,43900,44300,7318500
20181112,0,43850,45250,43700,45200,8552566
20181113,0,43900,44500,43400,44500,9311126
